series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-16T22:00:00,2026-09-17T00:00:00+02:00,14.0,10.0,21.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-16T23:00:00,2026-09-17T01:00:00+02:00,13.0,9.0,20.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T00:00:00,2026-09-17T02:00:00+02:00,12.5,8.5,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T01:00:00,2026-09-17T03:00:00+02:00,12.5,8.5,19.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T02:00:00,2026-09-17T04:00:00+02:00,13.0,9.0,20.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T03:00:00,2026-09-17T05:00:00+02:00,13.5,9.5,21.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T04:00:00,2026-09-17T06:00:00+02:00,14.0,10.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T05:00:00,2026-09-17T07:00:00+02:00,14.0,10.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T06:00:00,2026-09-17T08:00:00+02:00,14.5,10.0,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T07:00:00,2026-09-17T09:00:00+02:00,14.0,10.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T08:00:00,2026-09-17T10:00:00+02:00,14.0,10.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T09:00:00,2026-09-17T11:00:00+02:00,14.0,10.0,22.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T10:00:00,2026-09-17T12:00:00+02:00,14.0,10.0,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T11:00:00,2026-09-17T13:00:00+02:00,14.5,10.0,23.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T12:00:00,2026-09-17T14:00:00+02:00,15.0,10.5,24.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T13:00:00,2026-09-17T15:00:00+02:00,15.5,11.0,25.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T14:00:00,2026-09-17T16:00:00+02:00,15.5,11.0,25.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T15:00:00,2026-09-17T17:00:00+02:00,15.0,10.5,25.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T16:00:00,2026-09-17T18:00:00+02:00,16.5,11.5,28.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T17:00:00,2026-09-17T19:00:00+02:00,17.0,12.0,30.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T18:00:00,2026-09-17T20:00:00+02:00,19.0,13.0,34.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T19:00:00,2026-09-17T21:00:00+02:00,20.0,13.5,36.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T20:00:00,2026-09-17T22:00:00+02:00,19.0,13.0,35.0,EUR/MW
fcr_n_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-17T21:00:00,2026-09-17T23:00:00+02:00,18.0,12.0,33.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-16T22:00:00,2026-09-17T00:00:00+02:00,3.2,0.8,7.0,EUR/MW
fcr_d_up_a1,Scout,v0.1,2026-09-16T00:02:05.278275+02:00,2026-09-16T23:00:00,2026-09-17T01:00:00+02:00,2.8,0.7,6.5,EUR/MW
