series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-18T22:00:00,2026-09-19T00:00:00+02:00,201.742,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,184.9485,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,167.5587,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,184.2992,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,156.8465,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,194.9983,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T04:00:00,2026-09-19T06:00:00+02:00,211.6587,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T05:00:00,2026-09-19T07:00:00+02:00,277.9853,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T06:00:00,2026-09-19T08:00:00+02:00,321.9745,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T07:00:00,2026-09-19T09:00:00+02:00,308.4435,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T08:00:00,2026-09-19T10:00:00+02:00,259.5188,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T09:00:00,2026-09-19T11:00:00+02:00,218.848,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T10:00:00,2026-09-19T12:00:00+02:00,196.806,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T11:00:00,2026-09-19T13:00:00+02:00,186.8602,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T12:00:00,2026-09-19T14:00:00+02:00,203.5919,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T13:00:00,2026-09-19T15:00:00+02:00,239.2184,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T14:00:00,2026-09-19T16:00:00+02:00,313.3601,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T15:00:00,2026-09-19T17:00:00+02:00,372.1487,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T16:00:00,2026-09-19T18:00:00+02:00,446.8966,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T17:00:00,2026-09-19T19:00:00+02:00,446.2752,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T18:00:00,2026-09-19T20:00:00+02:00,363.5984,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T19:00:00,2026-09-19T21:00:00+02:00,308.0685,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T20:00:00,2026-09-19T22:00:00+02:00,250.2066,,,SEK/MWh
power_price_SE1,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T21:00:00,2026-09-19T23:00:00+02:00,207.2736,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-18T22:00:00,2026-09-19T00:00:00+02:00,157.9303,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-18T23:00:00,2026-09-19T01:00:00+02:00,109.2557,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T00:00:00,2026-09-19T02:00:00+02:00,111.2684,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T01:00:00,2026-09-19T03:00:00+02:00,133.8176,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T02:00:00,2026-09-19T04:00:00+02:00,106.8845,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T03:00:00,2026-09-19T05:00:00+02:00,165.1044,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T04:00:00,2026-09-19T06:00:00+02:00,194.9987,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T05:00:00,2026-09-19T07:00:00+02:00,247.9534,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T06:00:00,2026-09-19T08:00:00+02:00,292.6178,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T07:00:00,2026-09-19T09:00:00+02:00,343.9676,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T08:00:00,2026-09-19T10:00:00+02:00,243.591,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T09:00:00,2026-09-19T11:00:00+02:00,204.8393,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T10:00:00,2026-09-19T12:00:00+02:00,189.6474,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T11:00:00,2026-09-19T13:00:00+02:00,156.4003,,,SEK/MWh
power_price_SE2,Echo,v0.1,2026-09-18T11:01:25.713582+02:00,2026-09-19T12:00:00,2026-09-19T14:00:00+02:00,182.47,,,SEK/MWh
