zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE1,2026-09-21T00:00:00+02:00,2026-09-20T22:00:00+00:00,15.81,False,20.81,True,EUR/MWh
SE1,2026-09-21T00:15:00+02:00,2026-09-20T22:15:00+00:00,15.17,False,20.17,True,EUR/MWh
SE1,2026-09-21T00:30:00+02:00,2026-09-20T22:30:00+00:00,11.02,False,16.02,True,EUR/MWh
SE1,2026-09-21T00:45:00+02:00,2026-09-20T22:45:00+00:00,10.0,False,15.0,True,EUR/MWh
SE1,2026-09-21T01:00:00+02:00,2026-09-20T23:00:00+00:00,10.3,False,15.3,True,EUR/MWh
SE1,2026-09-21T01:15:00+02:00,2026-09-20T23:15:00+00:00,9.99,False,14.99,True,EUR/MWh
SE1,2026-09-21T01:30:00+02:00,2026-09-20T23:30:00+00:00,10.3,False,15.3,True,EUR/MWh
SE1,2026-09-21T01:45:00+02:00,2026-09-20T23:45:00+00:00,9.99,False,14.99,True,EUR/MWh
SE1,2026-09-21T02:00:00+02:00,2026-09-21T00:00:00+00:00,8.54,False,13.54,True,EUR/MWh
SE1,2026-09-21T02:15:00+02:00,2026-09-21T00:15:00+00:00,7.73,False,12.73,True,EUR/MWh
SE1,2026-09-21T02:30:00+02:00,2026-09-21T00:30:00+00:00,9.99,False,14.99,True,EUR/MWh
SE1,2026-09-21T02:45:00+02:00,2026-09-21T00:45:00+00:00,10.0,False,15.0,True,EUR/MWh
SE1,2026-09-21T03:00:00+02:00,2026-09-21T01:00:00+00:00,9.79,False,14.79,True,EUR/MWh
SE1,2026-09-21T03:15:00+02:00,2026-09-21T01:15:00+00:00,10.0,False,15.0,True,EUR/MWh
SE1,2026-09-21T03:30:00+02:00,2026-09-21T01:30:00+00:00,10.4,False,15.4,True,EUR/MWh
SE1,2026-09-21T03:45:00+02:00,2026-09-21T01:45:00+00:00,10.82,False,15.82,True,EUR/MWh
SE1,2026-09-21T04:00:00+02:00,2026-09-21T02:00:00+00:00,8.1,False,13.1,True,EUR/MWh
SE1,2026-09-21T04:15:00+02:00,2026-09-21T02:15:00+00:00,10.0,False,15.0,True,EUR/MWh
SE1,2026-09-21T04:30:00+02:00,2026-09-21T02:30:00+00:00,16.22,False,21.22,True,EUR/MWh
SE1,2026-09-21T04:45:00+02:00,2026-09-21T02:45:00+00:00,21.48,False,26.48,True,EUR/MWh
SE1,2026-09-21T05:00:00+02:00,2026-09-21T03:00:00+00:00,15.44,False,20.44,True,EUR/MWh
SE1,2026-09-21T05:15:00+02:00,2026-09-21T03:15:00+00:00,24.68,False,29.68,True,EUR/MWh
SE1,2026-09-21T05:30:00+02:00,2026-09-21T03:30:00+00:00,33.13,False,38.13,True,EUR/MWh
