series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-23T22:00:00,2026-09-24T00:00:00+02:00,9.1451,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-23T23:00:00,2026-09-24T01:00:00+02:00,9.1329,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T00:00:00,2026-09-24T02:00:00+02:00,9.0468,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T01:00:00,2026-09-24T03:00:00+02:00,9.1412,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T02:00:00,2026-09-24T04:00:00+02:00,9.1185,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T03:00:00,2026-09-24T05:00:00+02:00,9.1093,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T04:00:00,2026-09-24T06:00:00+02:00,9.1272,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T05:00:00,2026-09-24T07:00:00+02:00,9.2382,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T06:00:00,2026-09-24T08:00:00+02:00,9.148,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T07:00:00,2026-09-24T09:00:00+02:00,9.2005,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T08:00:00,2026-09-24T10:00:00+02:00,9.1927,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T09:00:00,2026-09-24T11:00:00+02:00,9.1349,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T10:00:00,2026-09-24T12:00:00+02:00,9.2021,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T11:00:00,2026-09-24T13:00:00+02:00,9.2354,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T12:00:00,2026-09-24T14:00:00+02:00,9.2325,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T13:00:00,2026-09-24T15:00:00+02:00,9.1136,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T14:00:00,2026-09-24T16:00:00+02:00,9.1036,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T15:00:00,2026-09-24T17:00:00+02:00,9.1426,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T16:00:00,2026-09-24T18:00:00+02:00,8.9436,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T17:00:00,2026-09-24T19:00:00+02:00,9.0027,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T18:00:00,2026-09-24T20:00:00+02:00,8.9996,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T19:00:00,2026-09-24T21:00:00+02:00,9.0111,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T20:00:00,2026-09-24T22:00:00+02:00,9.8583,5.0,15.0,EUR/MW
fcr_n_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T21:00:00,2026-09-24T23:00:00+02:00,9.1371,5.0,15.0,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-23T22:00:00,2026-09-24T00:00:00+02:00,1.2234,0.97,1.6,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-23T23:00:00,2026-09-24T01:00:00+02:00,1.2178,0.97,1.6,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T00:00:00,2026-09-24T02:00:00+02:00,1.209,0.97,1.6,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T01:00:00,2026-09-24T03:00:00+02:00,1.215,0.97,1.6,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T02:00:00,2026-09-24T04:00:00+02:00,1.2188,0.97,1.6,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T03:00:00,2026-09-24T05:00:00+02:00,1.2197,0.97,1.6,EUR/MW
fcr_d_up_a2,Glance,v0.2,2026-09-23T17:14:35.834034+02:00,2026-09-24T04:00:00,2026-09-24T06:00:00+02:00,1.2181,0.97,1.6,EUR/MW
