series,track,version,issued_at_local,target_utc,target_local,forecast,p10,p90,unit
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-23T22:00:00,2026-09-24T00:00:00+02:00,376.0245,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-23T23:00:00,2026-09-24T01:00:00+02:00,373.9711,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T00:00:00,2026-09-24T02:00:00+02:00,375.7708,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T01:00:00,2026-09-24T03:00:00+02:00,377.7954,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T02:00:00,2026-09-24T04:00:00+02:00,378.3442,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T03:00:00,2026-09-24T05:00:00+02:00,378.7948,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T04:00:00,2026-09-24T06:00:00+02:00,377.7014,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T05:00:00,2026-09-24T07:00:00+02:00,378.5838,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T06:00:00,2026-09-24T08:00:00+02:00,378.0766,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T07:00:00,2026-09-24T09:00:00+02:00,377.7005,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T08:00:00,2026-09-24T10:00:00+02:00,377.5027,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T09:00:00,2026-09-24T11:00:00+02:00,373.8308,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T10:00:00,2026-09-24T12:00:00+02:00,371.6755,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T11:00:00,2026-09-24T13:00:00+02:00,376.1256,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T12:00:00,2026-09-24T14:00:00+02:00,377.1375,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T13:00:00,2026-09-24T15:00:00+02:00,376.9168,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T14:00:00,2026-09-24T16:00:00+02:00,374.8293,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T15:00:00,2026-09-24T17:00:00+02:00,376.3669,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T16:00:00,2026-09-24T18:00:00+02:00,375.7383,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T17:00:00,2026-09-24T19:00:00+02:00,375.5161,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T18:00:00,2026-09-24T20:00:00+02:00,375.3344,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T19:00:00,2026-09-24T21:00:00+02:00,374.3088,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T20:00:00,2026-09-24T22:00:00+02:00,376.7375,32.696,931.6535,SEK/MWh
power_price_SE1,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T21:00:00,2026-09-24T23:00:00+02:00,376.8034,32.696,931.6535,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-23T22:00:00,2026-09-24T00:00:00+02:00,439.358,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-23T23:00:00,2026-09-24T01:00:00+02:00,437.7032,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T00:00:00,2026-09-24T02:00:00+02:00,438.2052,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T01:00:00,2026-09-24T03:00:00+02:00,441.6259,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T02:00:00,2026-09-24T04:00:00+02:00,442.0327,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T03:00:00,2026-09-24T05:00:00+02:00,442.5613,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T04:00:00,2026-09-24T06:00:00+02:00,440.1678,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T05:00:00,2026-09-24T07:00:00+02:00,441.9769,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T06:00:00,2026-09-24T08:00:00+02:00,439.9666,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T07:00:00,2026-09-24T09:00:00+02:00,440.2673,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T08:00:00,2026-09-24T10:00:00+02:00,439.5398,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T09:00:00,2026-09-24T11:00:00+02:00,439.9919,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T10:00:00,2026-09-24T12:00:00+02:00,433.9258,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T11:00:00,2026-09-24T13:00:00+02:00,440.0051,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T12:00:00,2026-09-24T14:00:00+02:00,440.2075,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T13:00:00,2026-09-24T15:00:00+02:00,440.1131,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T14:00:00,2026-09-24T16:00:00+02:00,438.9528,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T15:00:00,2026-09-24T17:00:00+02:00,439.7856,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T16:00:00,2026-09-24T18:00:00+02:00,440.0298,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T17:00:00,2026-09-24T19:00:00+02:00,438.8047,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T18:00:00,2026-09-24T20:00:00+02:00,439.262,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T19:00:00,2026-09-24T21:00:00+02:00,437.481,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T20:00:00,2026-09-24T22:00:00+02:00,439.5938,26.4355,1150.274,SEK/MWh
power_price_SE2,Glance,v0.1,2026-09-23T11:08:40.144444+02:00,2026-09-24T21:00:00,2026-09-24T23:00:00+02:00,439.8419,26.4355,1150.274,SEK/MWh
